ticker,name,price,currency,price_eur,mcap_eur_b,pe,fwd_pe,pb,div_yield,fcf_yield,debt_equity,num_analysts,sector,dist_high,h52,l52
BPT.L,BRIDGEPOINT GROUP PLC ORD GBP0,262.8,GBp,3.013002,0.025544847681280004,52.559994,11.120984,226.74718,3.51,84.62472799445091,0.48945,8,Financial Services,-35.90243902439024,410.0,229.2
BMW.DE,BAYERISCHE MOTOREN WERKE AG   ,89.8,EUR,89.8,54.739070976,7.891037,8.066458,0.6053049,4.82,63.403871182280255,1.12754,23,Consumer Cyclical,-8.292483660130722,97.92,62.96
IWG.L,INTERNATIONAL WORKPLACE GROUP ,246.2,GBp,2.822683,0.02794779721472,123.1,19.729145,-1588.8959,41.0,43.00739341814499,0,9,Real Estate,-1.7557861133280153,250.6,146.0
CTT.LS,"CTT-CORREIOS DE PORTUGAL, SA",7.34,EUR,7.34,0.973466624,19.31579,13.029663,3.9761648,2.34,41.240160689885144,1.79101,5,Industrials,-9.828009828009836,8.14,6.2
HMSO.L,HAMMERSON PLC ORD 5P,351.0,GBp,4.024215,0.021335747907840003,29.25,15.537849,92.514496,4.51,35.9971447126905,0.8366800000000001,13,Real Estate,-3.1456953642384047,362.4,219.2
LGEN.L,LEGAL & GENERAL GROUP PLC ORD ,267.61,GBp,3.06814865,0.17275349587968003,66.902756,10.950609,808.49243,8.08,34.12137265279704,11.161520000000001,15,Financial Services,-2.8638838475499044,275.5,206.8
WIX.L,WICKES GROUP PLC ORD GBP0.10,233.0,GBp,2.671345,0.005941464942240001,25.888887,12.319569,425.95978,4.63,23.498419810142572,5.48323,9,Consumer Cyclical,-4.11522633744856,243.0,158.8
CURY.L,CURRYS PLC ORD 0.1P,148.0,GBp,1.69682,0.01781267998144,12.333334,10.518087,70.881226,1.54,22.398763151626877,0.4008,8,Consumer Cyclical,-3.14136125654451,152.8,83.95
VNA.DE,Vonovia SE                    ,25.76,EUR,25.76,21.846812672,7.975232,13.10668,0.8302982,4.86,17.54924166541597,1.37001,16,Real Estate,-16.063864450961223,30.69,23.7
SAN.PA,SANOFI,81.45,EUR,81.45,98.716147712,20.120987,9.139124,1.3845422,4.77,16.148194225028714,0.28349,23,Healthcare,-26.54220779220779,110.88,76.15
AHT.L,ASHTEAD GROUP PLC ORD 10P,5180.0,GBp,59.3887,0.24604214908928002,21.388428,16.503365,401.02496,1.62,15.819939755621284,1.4274,17,Industrials,-11.448450347881085,5849.7,3477.0
EN.PA,BOUYGUES,49.85,EUR,49.85,19.16706816,18.134544,14.218023,1.5164506,4.12,15.636193866386291,1.02668,10,Industrials,-0.1802162595114063,49.94,31.34
BBY.L,BALFOUR BEATTY PLC ORD 50P,762.5,GBp,8.742062500000001,0.04241819599360001,21.785715,15.518153,361.37442,1.73,15.267721351698063,1.04067,8,Industrials,-0.13097576948264572,763.5,365.8
IBS.LS,Ibersol-SGPS,11.25,EUR,11.25,0.457522144,34.090908,28.737835,1.4311156,6.31,14.505526534689434,0.90643,3,Consumer Cyclical,0.0,11.25,7.88
CCR.L,C&C GROUP PLC ORD EUR0.01 (CDI,117.4,GBp,1.3459910000000002,0.004957741893760001,23.48,12.324713,93.97164,4.64,14.444732659466425,0.6813899999999999,6,Consumer Defensive,-36.39821004843271,184.586,105.2
AEP.L,AEP PLANTATIONS PLC ORD 25P,1501.2,GBp,17.211258,0.006654568497600002,9.153658,12.6269045,140.4192,4.41,13.630925110277884,0.0011,1,Consumer Defensive,-2.201954397394134,1535.0,640.0
