date,portfolio_eur,cash_eur,sp500_eur,portfolio_return_pct,sp500_return_pct
2026-01-26,9568.12,7300.00,5860.99,,
2026-01-27,9457.50,5653.00,5875.98,-1.16,0.26
2026-01-28,9464.99,5653.00,5806.49,0.08,-1.18
2026-01-29,9518.39,5653.00,5818.29,0.56,0.20
2026-01-30,9554.74,5653.00,5799.09,0.38,-0.33
2026-02-02,9226.15,3783.39,5887.70,-3.44,1.53
2026-02-03,9088.56,2221.11,5863.19,-1.49,-0.42
2026-02-04,9224.38,2117.69,5824.85,1.49,-0.65
2026-02-05,9118.02,1179.55,5760.56,-1.15,-1.10
2026-02-06,9123.41,1162.55,5885.87,0.06,2.18
2026-02-09,9139.11,2471.41,5889.52,0.17,0.06
2026-02-10,9133.05,3008.41,5831.47,-0.07,-0.99
2026-02-11,9184.40,3008.41,5838.26,0.56,0.12
2026-02-12,9251.86,3008.41,5753.39,0.73,-1.45
2026-02-13,9230.34,3916.41,5759.95,-0.23,0.11
2026-02-16,9214.13,3916.41,5759.95,-0.18,0.00
2026-02-17,9263.28,3916.41,5774.93,0.53,0.26
2026-02-18,9243.35,3916.41,5806.11,-0.22,0.54
2026-02-19,9215.27,3916.41,5820.67,-0.30,0.25
2026-02-20,9241.05,3514.52,5870.87,0.28,0.86
2026-02-23,9203.94,3514.52,5777.69,-0.40,-1.59
2026-02-24,9273.08,3314.52,5842.09,0.75,1.11
2026-02-25,9352.43,2514.52,5898.93,0.86,0.97
2026-02-26,9474.23,2000.78,5847.45,1.30,-0.87
2026-02-27,9464.59,1800.78,5828.06,-0.10,-0.33
2026-03-02,9437.90,1800.78,5851.99,-0.28,0.41
2026-03-03,9400.48,1800.78,5827.54,-0.40,-0.42
2026-03-04,9478.11,1800.78,5915.74,0.83,1.51
2026-03-05,9525.77,1450.78,5870.52,0.50,-0.76
2026-03-06,9522.21,1744.09,5806.33,-0.04,-1.09
2026-03-09,9522.35,1744.09,5897.63,0.00,1.57
2026-03-10,9494.46,1744.09,5837.43,-0.29,-1.02
2026-03-11,9214.00,1644.09,5835.52,-2.95,-0.03
2026-03-12,9186.01,1644.09,5780.56,-0.30,-0.94
2026-03-13,9151.80,1274.09,5756.28,-0.37,-0.42
2026-03-16,9192.71,1274.09,5858.61,0.45,1.78
2026-03-17,9270.19,1274.09,5840.31,0.84,-0.31
